fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,274.347021893678,21,411,0,2427,248,59770,936115,12625,11374,523965,228492,0,2568.203624,43547,76713,197066,553415,26,744823,1582953,62197,2568.203624,425753,90,8.58,8.18,100.48,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,305.243024412518,18,23,0.57024,735,196,10991,122642,6011,7462,417,216,0,374.92639,6605,10332,46725,101257,1,324672,573255,11726,374.35615,50123,90,17.21,12.68,100.02,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,303.902221312582,13,130,1.424,725,418,46521,451949,44701,76951,30445,40008,0.66,1375.5670502,32328,53297,189525,498572,1,686554,1539318,47246,1373.4830502,202422,85,61.18,58.25,100.05,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,306.960043639373,20,46,0,68,96,13800,159489,4102,3814,72199,40597,10.3281,499.895604,7805,13721,33086,108168,12,150295,351138,13868,489.567504,81949,96,20.93,22.62,100.01,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,279.116112981236,16,108,28.282765,1418,193,42614,613447,29517,29555,53064,38676,0,1740.5121866,37501,59881,146616,361973,28,690453,1308909,44032,1712.2294216,268090,93,27.88,27.26,101.42,NA
2025-2026,May,18,MAHARASHTRA,1810,PUNE,136145,354.720660569377,14,23,0,325,541,19469,112509,4344,9117,16138,22056,0,399.092668,7539,12612,54164,143959,5,388923,840494,19794,399.092668,49955,94,37.94,34.6,101.63,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,301.99075714931,19,25,0.57024,1105,178,10818,143895,6657,7477,435,217,0,435.11984,7328,11515,47101,102082,2,324871,573615,11923,434.5496,58953,90,19.26,15.2,100.01,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,337.972086173476,13,76,0,397,367,24115,171793,7135,14564,1657,2321,0,580.612386,12392,21024,90107,205077,1,584212,1024189,24512,580.612386,71591,97,59.92,59.83,103.37,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,314.263105226223,18,30,0,171,324,11686,172419,16596,18306,380,365,0,541.849303400001,9537,15939,52109,128540,7,378855,685340,11857,541.849303400001,80189,94,24.93,20.87,104.51,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,320.952807687656,16,549,0,672,196,76648,595344,16116,26952,11818,12845,69.30875,1980.0820334,36491,67448,241798,645160,27,707445,1504282,77320,1910.7732834,266329,94,67.62,62.92,101.41,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,295.277116543252,13,146,0,580,254,50184,405815,11972,20574,2917,3221,166.52546,1364.8042905,31153,55195,177019,463573,22,521727,1145298,50764,1198.2788305,180174,85,67.95,66.86,100.43,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,282.085301658818,14,142,1.424,902,382,46703,539782,52358,77107,35891,40080,0.66,1524.729683,36516,60614,190110,500048,3,687965,1541193,47605,1522.645683,242601,85,64.63,61.99,100.12,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,215.339752075182,14,1617,0,952,94,16333,546940,61121,57200,44860,31879,22.51124,1200.29048,38550,62378,181466,437673,1,303222,653874,17285,1177.77924,317436,79,16.44,36.14,100.03,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,282.612920707244,17,297,0,3470,65,28820,742262,64576,60427,169631,104724,86.87413,2184.6024475,42755,71694,169443,486649,20,391082,933440,32290,2097.7283175,374252,81,26.75,34.13,100.01,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,297.580522970793,18,475,0,3448,18,22668,746252,60299,39237,270075,167014,35.49352,2256.19412428,39300,71251,135263,391873,27,244753,619282,26116,2220.70060428,354971,85,22.39,28.23,100.17,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,246.876272014978,13,113,0,799,29,39199,967807,56707,51735,134626,90369,0,2389.2858419,70215,105199,234064,604727,3,368315,863419,39998,2389.2858419,556443,80,15.77,24.67,102.56,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,312.703234319828,15,22,0,451,419,18694,54942,1343,2703,17729,16046,0,171.805411,3648,6019,29355,67682,4,207425,372088,19145,171.805411,27155,80,32.98,33.25,100.77,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,278.394913887933,22,499,0,4036,211,60580,1177245,15598,11475,646957,232219,0,3277.390204,51903,91042,199931,560795,61,761942,1607126,64616,3277.390204,532116,90,12.34,10.99,100.78,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,340.014182750591,16,119,0,1026,91,30423,437186,16024,17187,81854,80356,0,1486.494405,25873,43506,105989,297960,31,567271,1114361,31449,1486.494405,190706,92,57.44,57.07,102.05,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,313.979615133378,13,90,8.98788,246,567,17403,188299,5436,10128,846,924,0,600.2083555,14003,22125,70786,159836,3,423501,806265,17649,591.2204755,91100,89,18.37,22.18,102.56,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,322.880666435168,19,43,0,239,311,11912,213104,18831,18404,430,365,0,688.071615400001,11040,18791,52810,130512,20,380284,688364,12151,688.071615400001,99223,94,29.7,26.11,112.52,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,385.188278123139,16,270,24.36237,1116,169,86599,1212578,21828,16466,2508,1991,0,4695.0706891,72264,129414,289651,699472,99,786758,1560237,87715,4670.7083191,530101,81,66.31,63.54,101.04,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,372.699083156621,14,80,0.69,273,224,19989,219754,10410,20717,595,1146,0,819.7111432,15288,24814,77772,197277,2,332680,716201,20262,819.0211432,93738,79,59.83,58.33,100.01,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,328.769291604301,19,523,0,3915,12,22641,849161,68131,39248,307608,167170,35.49352,2827.27412428,42605,77497,135465,392385,35,246471,622174,26556,2791.78060428,405436,85,23.21,29.29,100.16,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,275.949325191015,17,60,1.14223,2597,51,39400,557417,9151,10723,462809,291345,6.13765,1545.46833,31919,49328,151466,360833,4,571702,1138842,41997,1538.18845,253396,90,11.64,10.59,101.49,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,309.69336902464,16,442,0,91,52,29683,636196,41965,23020,18976,8916,5.28849,1975.545316,37549,60878,107561,248278,7,304383,599686,29774,1970.256826,285295,92,77.1,77.34,100,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,346.180871228864,18,73,0,933,58,23171,527129,60556,44524,75971,43252,0.428,1825.2477647,28390,47928,97411,248698,31,277024,620549,24104,1824.8197647,226654,91,81.95,76.76,100.02,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,305.571309215722,22,53,0,96,82,14185,201319,5157,3851,88929,41138,10.3281,625.501204,8798,15520,33588,109790,26,152557,354427,14281,615.173104,103192,96,20.98,22.69,100.38,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,282.493453087597,23,512,0,4282,189,60992,1233192,16094,11482,679591,233249,0,3483.686664,53428,93783,200525,562602,74,777733,1629669,65274,3483.686664,557375,90,12.68,11.51,100.91,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,338.103141168854,19,43,0,326,301,11877,219326,19199,18430,430,365,0,741.548095400001,11361,19360,52937,130834,19,381431,690739,12203,741.548095400001,102035,94,30.39,26.71,111.73,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,251.729709238152,14,145,0,1100,21,39259,1177768,75021,51783,167491,90408,0,2964.7919619,83049,124407,234453,605401,5,373909,872296,40359,2964.7919619,695683,80,17.66,29.35,102.35,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,326.756000268619,11,65,0,438,263,19278,74455,2001,6479,599,1163,0,243.28618,6471,9423,51482,117558,1,260486,483010,19716,243.28618,35287,97,58.21,40.62,100.23,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,468.204449092816,15,191,41.98825,198,90,39390,554794,16636,20235,2626,2783,0,2639.5584413,35308,57142,153113,341143,27,437390,837317,39588,2597.5701913,230828,91,75.05,71.7,100.76,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,301.351375819345,15,1163,0,1468,30,37622,529539,59088,37285,20087,11592,29.63529,1625.408352,33444,51851,98631,226497,30,321590,614367,39090,1595.773062,214917,93,41.82,42.85,100.06,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,272.287840081158,17,310,0,3496,64,28998,791539,68654,60444,180733,104765,86.87413,2242.1385765,44277,74239,169555,486896,21,391480,934101,32494,2155.2644465,401007,81,27.11,35.22,100.01,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,315.629082745583,15,22,0,461,419,18686,55012,1343,2703,17729,16050,0,173.633871,3654,6029,29358,67695,4,208041,372963,19147,173.633871,27190,80,32.94,33.21,100.9,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,328.290147330694,12,69,0,463,228,19382,88169,2446,6499,652,1167,0,289.45014,7318,10625,51676,117968,3,260618,483228,19845,289.45014,41023,97,58.75,43.23,100.32,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,340.322979689167,17,119,0,1026,88,30463,443261,16264,17185,82465,80399,0,1508.519043,25978,43671,106009,297997,38,569593,1117698,31489,1508.519043,193411,92,55.73,55.37,102.09,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,276.573313979676,17,119,28.282765,1556,170,43348,728200,34805,29682,59596,39009,0,2042.2896374,41911,67148,147811,364746,43,695380,1316017,44904,2014.0068724,316879,93,30.69,30.04,101.38,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,322.079250308753,12,90,0,836,176,33866,340887,21436,34113,7011,7693,0,1097.926294,27247,41090,134369,326045,0,499349,1040491,34702,1097.926294,136478,95,40.42,39.92,100,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,303.179829016557,16,1215,0,2133,29,37128,572804,63611,37360,21375,11606,29.63529,1766.2614778,34673,53870,99011,227345,49,326617,621420,39261,1736.6261878,232877,93,43.02,43.97,100.1,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,368.071619865941,22,130,2.03734,541,45,13902,294796,20274,15564,24376,15057,22.105,1109.2027525,12901,21321,59334,146645,58,235199,434210,14443,1085.0604125,126348,89,50.6,50.44,100.44,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,326.725969639504,20,532,0,4193,11,22463,867970,69331,39253,315332,167212,35.49352,2871.37691868,43217,78594,135535,392540,39,247082,623171,26656,2835.88339868,414299,85,23.18,29.26,100.16,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,251.339829229173,14,143,0,1083,21,39291,1168408,73910,51780,165459,90411,0,2936.6746719,82624,123741,234444,605444,4,372936,870859,40374,2936.6746719,689640,80,17.77,29.22,102.38,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,303.115145038168,21,50,0,90,92,13952,176850,4426,3820,78476,40823,10.3281,546.387234,8239,14458,33308,108829,16,150921,352065,14042,536.059134,90664,96,21.42,23.16,100.01,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,309.037144474851,14,22,0,434,421,18692,52985,1343,2703,16556,15971,0,163.743331,3577,5876,29319,67581,4,206429,370546,19126,163.743331,26184,80,34.05,34.33,100.78,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,270.408731656655,22,471,0,3397,226,60414,1090927,14545,11445,603113,231048,0,2949.961864,49203,86528,199015,558430,39,757246,1600379,63811,2949.961864,494348,90,10.7,9.87,100.64,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,288.389280431331,13,162,0,746,230,50312,496881,13956,20609,3312,3236,166.52546,1599.4770005,36428,63926,177413,464334,28,524949,1149987,51058,1432.9515405,220459,85,69.16,68.16,100.35,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,289.621789260118,15,145,1.424,940,331,47159,652577,62627,77426,43370,40277,0.66,1892.0891837,41838,69658,191156,502428,7,689521,1543305,48099,1890.0051837,293088,85,66.78,64.36,100.14,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,282.69138441512,16,79,0,746,194,32087,470148,33991,53471,4327,4364,0,1329.06789,28748,47366,137447,341661,5,415946,872901,32833,1329.06789,203394,87,69.89,64.06,100,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,275.986608922064,22,681,0.28512,3018,69,48227,1052335,89592,52509,422013,139332,0,2904.588801,46209,89031,190703,539503,182,494546,1105187,51245,2904.303681,473342,80,33.34,55.45,100.29,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,304.637167478327,17,73,0,461,69,23068,492201,56498,44496,70058,43215,0.428,1499.8551847,27626,46539,97320,248466,19,276564,619752,23529,1499.4271847,211883,91,82.06,76.68,100.02,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,372.051333361033,22,152,0,1572,113,39943,866442,37769,30047,42890,28306,8.1,3231.7090138,38806,69391,152519,445524,191,806011,1988877,41515,3223.6090138,376846,94,51.67,49.57,109.91,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,354.778839806848,18,173,13.53858,1178,201,47687,916787,86404,77836,58710,40653,0.66,3266.7648621,49225,82409,192618,506190,55,716034,1579715,48865,3252.5662821,413202,85,69.64,67.9,101.16,NA
2025-2026,May,18,MAHARASHTRA,1827,NAGPUR,599328,375.352521885965,17,81,0,706,120,19100,250503,26834,32078,26528,31430,9.54709,949.8164179,14280,20557,100197,229570,10,301800,573717,19806,940.2693279,111153,83,42.97,43.17,100.23,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,221.802429615998,17,2189,0,1381,41,16594,900986,101396,57341,70849,31929,24.75772,2023.1665585,51268,82502,182077,438505,19,309396,662657,17975,1998.4088385,531212,79,17.76,35.22,100.03,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,320.69737273605,20,381,0,4694,40,28598,1094713,100875,60611,245579,105067,86.87413,3597.58996,53354,90140,170432,488885,82,397466,943821,33292,3510.71583,565311,82,28.02,39.02,100.07,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,301.191041697317,18,70,1.14223,2796,30,39938,652512,11130,10761,543557,294099,6.13765,1972.58757,35627,55183,152788,363900,10,609153,1186884,42734,1965.30769,296998,91,14.19,13.3,101.9,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,340.070596725473,15,57,0,371,56,16492,111894,2372,2780,278,234,4.27666,384.795253500001,7374,11709,32196,74146,2,133064,248625,16863,380.518593500001,48489,90,54.23,52.34,100.01,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,346.239917792187,18,129,29.708365,1788,135,43867,844202,40599,29819,69791,39261,0,2952.6726758,44910,71984,148960,367521,80,705652,1330541,45655,2922.9643108,368360,93,32.88,32.12,105.61,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,327.162592163779,14,114,8.98788,298,488,17980,222837,6332,10172,1032,931,0,738.0271855,15912,25078,71831,162117,3,425240,810076,18278,729.0393055,108173,89,18.2,22.38,102.36,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,372.830486781977,19,626,0,1210,72,77648,909894,23978,27086,15513,12920,79.50852,3471.8707494,45645,84893,243106,648659,151,717331,1521758,78858,3392.3622294,408086,94,67.57,62.92,102.35,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,358.879675707285,18,173,13.53858,1176,204,47693,897800,84948,77823,57101,40631,0.66,3236.2203085,48788,81642,192546,505992,46,712820,1575269,48869,3222.0217285,404689,85,69.27,67.49,101.18,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,326.426697160282,12,94,0,1028,148,34071,393525,24697,34177,8103,7721,0,1284.57066,30818,46408,134981,327533,3,503674,1048185,35099,1284.57066,156462,95,41.98,41.45,100,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,338.40906346382,17,1239,0,3120,22,36706,640680,70914,37468,24006,11627,29.63529,2197.7544778,36117,56239,99448,228343,98,337748,636798,39826,2168.1191878,261580,93,44.82,45.84,100.22,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,401.548146192202,25,135,2.03734,695,31,14022,349362,23610,15593,28059,15124,22.105,1426.9989745,13938,23162,59711,147606,86,239499,439860,14717,1402.8566345,149003,89,52.24,52.09,100.57,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,305.571309215722,22,53,0,96,82,14179,201319,5157,3851,88929,41141,10.3281,625.501204,8798,15520,33588,109801,26,152878,354898,14275,615.173104,103192,96,20.98,22.69,100.38,NA
2025-2026,May,18,MAHARASHTRA,1814,KOLHAPUR,145122,336.634281991802,19,43,0,326,301,11877,220283,19199,18430,430,365,0,741.548095400001,11367,19367,52937,130840,21,381672,691154,12203,741.548095400001,102461,94,31.2,27.57,111.73,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,439.399720171608,17,210,41.98825,247,81,39801,704396,20604,20288,3312,2790,0,3137.1023029,40398,65500,153891,342695,62,440738,842011,40048,3095.1140529,294094,91,74.26,70.79,100.78,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,324.175368025395,16,404,0,2471,90,53333,1233923,60009,40527,137173,80452,0,4000.0744264,72614,109834,248799,556756,30,710588,1445641,55804,4000.0744264,551920,94,43.55,60.41,100.09,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,209.463135757485,15,1877,0,1176,74,16414,704219,80023,57270,55685,31901,22.51124,1497.59044,44711,72462,181766,438032,2,306078,657942,17590,1475.0792,410472,79,16.19,33.95,100.03,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,252.138385289105,14,146,0,1300,21,39073,1186522,75425,51784,168094,90409,0,2991.6774119,83350,124826,234457,605413,5,374581,873335,40373,2991.6774119,702509,80,17.58,29.44,102.48,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,357.212910560512,19,75,0,1621,54,23247,561933,64327,44578,81675,43340,0.428,2007.7252247,29405,49735,97621,249208,39,278489,622828,24868,2007.2972247,242038,91,82.49,77.18,100.02,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,293.684736935856,18,124,29.708365,1612,158,43670,791575,38360,29733,62859,39082,0,2354.4433214,43617,69978,148325,366093,66,703101,1326900,45282,2324.7349564,344536,93,32.78,32.17,104.15,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,275.341130309169,21,150,0,1372,141,40004,798171,34802,30000,41863,28296,8.1,2205.7930532,37586,67077,152176,444462,122,803830,1984597,41376,2197.6930532,347524,94,49.75,47.77,100.62,NA
2025-2026,May,18,MAHARASHTRA,1810,PUNE,136145,360.74580457783,16,28,0,441,479,19848,144610,5070,9176,18501,22163,1.7325,523.407008,8997,15102,54925,146070,6,394569,850978,20289,521.674508,64652,94,37.36,34.32,101.32,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,323.459964337607,17,413,0,2623,83,53491,1328290,64631,40578,148155,80583,0,4296.4863603,75201,113947,249289,557843,42,713824,1450905,56114,4296.4863603,593551,94,44.19,61.11,100.1,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,205.698151849822,16,2001,0,1177,69,16538,795536,89033,57271,62669,31902,24.75772,1661.1605693,47197,76418,181842,438045,14,308672,661634,17715,1636.4028493,465853,79,17.46,35.41,100.03,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,318.183630987764,14,52,0,366,73,16847,97574,2043,2776,261,234,4.27666,314.741156100001,6745,10651,31996,73833,1,132814,248326,17213,310.464496100001,42321,89,51.99,49.35,100.01,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,281.149260824149,23,518,0,4359,185,61314,1278992,16597,11502,707738,234104,0,3595.876554,54576,95765,201027,563992,93,793622,1652061,65673,3595.876554,578765,90,13.73,12.43,101.14,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,436.603616732445,17,212,41.98825,247,81,39875,723385,21047,20303,3438,2795,0,3200.3133229,40946,66361,153959,342864,66,441995,843750,40122,3158.3250729,301970,91,74.17,70.75,100.76,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,322.605990906857,17,411,0,2575,84,53431,1302080,63540,40560,144721,80515,0,4200.5880864,74425,112710,249148,557505,42,712229,1448310,56006,4200.5880864,581902,94,44.23,61.08,100.1,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,296.307413874189,18,589,63.8034937,1838,39,53833,1123554,3148,1957,1043844,368269,13.226,3406.20329458,60455,109696,142030,411424,110,338648,781582,55671,3329.17380088,614481,89,8.82,18.17,100.21,NA
2025-2026,May,18,MAHARASHTRA,1803,RAIGAD,54079,328.819603133411,16,33,0.692,866,347,17878,82849,2057,2731,25825,16440,0,273.115753,4877,8028,29919,68842,16,213289,380914,18744,272.423753,40808,83,33.72,34.12,104.75,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,372.971989101668,13,90,0.0552,706,150,18956,128093,3381,6523,914,1184,0,477.80621,9472,13848,52368,119611,10,261059,484067,19662,477.75101,59568,97,59.22,48.03,100.73,NA
2025-2026,May,18,MAHARASHTRA,1818,BEED,3153695,338.280275474968,23,382,24.36237,1764,128,89115,2308050,39787,16747,4614,2031,0,7832.04026810001,99830,177724,294350,708644,984,822892,1605109,90879,7807.67789810001,1007854,81,66.81,65.07,103.53,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,337.657425969395,24,90,0,2137,32,23906,832426,92638,44950,117568,43695,0.428,2811.1762047,34684,58864,98747,251880,235,285104,633542,26043,2810.7482047,359038,91,83.57,78.49,100.12,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,373.610185723032,13,90,0.0552,692,150,18978,127394,3381,6523,914,1184,0,476.01216,9443,13789,52365,119595,10,261035,484022,19670,475.95696,59225,97,57.72,46.13,100.73,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,332.311793850967,16,60,0,390,46,15596,139404,2968,2784,355,234,4.27666,467.532593100002,8411,13372,32552,74809,12,133315,248938,15986,463.255933100002,60415,92,55.1,53.7,100.01,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,301.664557764746,25,562,0,5650,131,61779,1575338,20310,11621,847442,237477,0,4752.236411,60930,106763,203761,571628,216,851793,1736041,67429,4752.236411,711261,91,16.47,14.07,104.42,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,360.562036694055,19,196,0,1877,67,30286,580421,20709,17231,107740,81370,0,2092.777779,30105,51025,107252,300754,177,593424,1151121,32163,2092.777779,253594,93,57.21,56.68,104.72,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,365.388680665863,24,164,0,1853,105,40175,1019249,44199,30106,44470,28351,8.1,3732.3204738,41922,75696,153388,448145,364,811657,2000368,42028,3724.2204738,444362,94,55.21,52.95,108.69,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,322.632106116295,14,125,8.98788,345,434,18531,265275,7562,10216,1129,939,0,864.8501995,17693,27942,72723,164243,6,426731,813503,18876,855.8623195,127799,89,17.91,21.91,103.14,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,416.926734111992,20,233,41.98825,828,68,39955,989394,28701,20422,4934,2808,0,4167.0363417,47896,77907,155217,345333,221,450034,854497,40783,4125.0480917,414221,91,74.26,70.1,101.03,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,380.562574532888,21,114,0,1244,72,32728,846103,58972,53751,7734,4387,0,3219.95136,38704,64352,139044,345105,134,426829,888739,33972,3219.95136,366869,87,70.03,64.85,100.1,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,296.751012117702,18,81,1.14223,3574,27,39914,721754,12620,10801,599219,295942,6.13765,2149.09218,38199,59306,153710,366085,17,627970,1211599,43488,2141.8123,328626,91,14.82,14.14,102.65,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,309.313084237311,21,36,0.57024,1604,117,11267,224010,8951,7590,638,225,0,693.46248,10581,16528,48826,105938,6,327139,577497,12871,692.89224,92579,91,23.14,19.81,100.03,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,435.925615315622,19,228,41.98825,632,68,39933,880800,25116,20382,4240,2803,0,3881.6210697,44479,72237,154722,344446,152,447635,851260,40565,3839.6328197,368595,91,74.69,70.46,101.1,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,332.819126914331,18,1262,0,3748,21,36175,702726,77250,37535,26274,11657,29.63529,2368.4418278,37441,58312,99813,229147,120,341428,642033,39923,2338.8065378,287604,93,45.37,46.31,100.26,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,362.92840237976,29,752,0.28512,5139,26,46337,1665546,140031,52655,689546,139571,4.12172,6049.14632869999,55799,108475,191944,542425,1208,508980,1124402,51476,6044.73948869999,754485,81,35.07,61.15,101.05,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,328.445870419485,19,452,0,4171,73,52775,1612619,77756,40712,180848,81018,0,5296.5805111,81028,122974,250758,561126,75,717200,1456625,56946,5296.5805111,718979,95,47.22,63.72,100.13,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,220.685391389082,18,2418,0,1768,38,16380,1033409,115219,57384,80641,31960,24.75772,2305.3404163,56308,91098,182313,438992,55,309909,663436,18148,2280.5826963,609672,79,18.22,35.55,100.03,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,299.87304689804,19,636,63.8034937,2463,34,53268,1269520,3509,1964,1179527,369623,13.226,3883.97779868,63581,115615,142647,412966,251,342261,787599,55731,3806.94830498,696880,89,9.65,19.92,100.37,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,351.408243688742,20,643,0,1289,69,77781,990690,25932,27122,17112,12969,79.50852,3560.8748494,47767,88709,243403,649355,210,718667,1524033,79070,3481.3663294,444556,94,67.78,63.34,102.45,NA
